epoch,phase,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,finetune,1.1146738707066126,0.6984580239862935,0.14891808954059915,0.9482288828337875,197.23561780000455
2,finetune,0.2550769339521431,0.9251856082238721,0.03189392383045413,0.9918256130790191,195.06250709999586
3,finetune,0.1830247095283408,0.950885208452313,0.05303852017638997,0.9809264305177112,200.09504509999533
4,finetune,0.15438834370152738,0.9583095374071959,0.046598534252969115,0.9809264305177112,197.1772789999959
5,finetune,0.10701456491110463,0.970873786407767,0.01346327490883826,0.9945504087193461,195.56568029998743
6,finetune,0.1554254807068034,0.9514563106796117,0.017516656336525254,0.9945504087193461,194.9255267999979
7,finetune,0.12401980891406775,0.9645916619074815,0.024362053977178375,0.989100817438692,194.5145779000013
8,finetune,0.12118707953828324,0.9703026841804683,0.012912588651426523,0.997275204359673,194.4174587000016
9,finetune,0.09340668553491785,0.9754426042261565,0.020421267270614274,0.9945504087193461,190.19150280000758
10,finetune,0.099259414583251,0.9703026841804683,0.025162171396981257,0.9945504087193461,195.0904240999953
11,finetune,0.11030711272336768,0.9645916619074815,0.019594835346166236,0.9945504087193461,194.39643359999172
12,finetune,0.08751866717778704,0.9765848086807538,0.013165235891454467,0.9945504087193461,194.55147599999327
13,finetune,0.08910816700529117,0.9731581953169617,0.00464935806593845,0.997275204359673,194.40694100000837
14,finetune,0.07423361180204449,0.981724728726442,0.012096304194883166,0.9945504087193461,194.91752260000794
15,finetune,0.09266237898393061,0.9731581953169617,0.014609091763326908,0.9945504087193461,195.0320378000033
16,finetune,0.09513236424417104,0.9725870930896631,0.006663442998223656,0.997275204359673,194.26993189999484
17,finetune,0.056330882162568416,0.9857224443175329,0.005179431807454859,0.997275204359673,193.19279790000292
18,finetune,0.079041011403844,0.9714448886350657,0.00350616775006105,1.0,194.80332279999857
19,finetune,0.06233154415556664,0.9822958309537407,0.007983592898434705,0.9945504087193461,195.1804487999907
20,finetune,0.041679179694807784,0.989149057681325,0.009264161598106417,0.9945504087193461,195.00690600000962
21,finetune,0.07197273515169107,0.9771559109080525,0.016021993180020566,0.9945504087193461,198.2199369000009
22,finetune,0.05658254269478595,0.981724728726442,0.010973800323804909,0.997275204359673,195.18372010000166
23,finetune,0.061635168583086056,0.9840091376356368,0.005823804424496032,0.997275204359673,193.8644864999951
24,finetune,0.03903526030528731,0.9885779554540263,0.004395495667458644,0.997275204359673,196.08802679998917
25,finetune,0.05473106544675451,0.981724728726442,0.008353438601752267,0.997275204359673,196.01682849999634
26,finetune,0.043648065873294076,0.9857224443175329,0.010985731557062358,0.9945504087193461,196.09794930000498
27,finetune,0.021623206097762426,0.9954311821816105,0.01179182146641656,0.997275204359673,197.0708816000115
28,finetune,0.036560434977848964,0.9880068532267275,0.005080530197053843,0.997275204359673,196.94856479999726
29,finetune,0.0358727554371022,0.9897201599086236,0.005813891175773207,0.9945504087193461,195.33710260000953
30,finetune,0.03876925699351257,0.9897201599086236,0.0030342480729948092,1.0,180.93265499999688
31,finetune,0.034034042817560145,0.9902912621359223,0.004754838421213357,0.997275204359673,187.90188680001302
32,finetune,0.0356866343022414,0.9902912621359223,0.002476444875333506,1.0,195.5283550000022
33,finetune,0.03916288920061749,0.9914334665905197,0.0064797214511170065,0.997275204359673,195.933841200007
34,finetune,0.04600373303665562,0.9885779554540263,0.007414409169955781,0.997275204359673,196.0462833999918
35,finetune,0.026236218152443286,0.9931467732724157,0.006582497104409536,0.997275204359673,194.6661688000022
36,finetune,0.022081028659434947,0.9925756710451171,0.004629187190211423,0.997275204359673,196.49033380000037
37,finetune,0.02953439962857114,0.9925756710451171,0.0038558388375095117,0.997275204359673,196.52346149999357
38,finetune,0.02573199118825281,0.9925756710451171,0.006012144684252931,0.997275204359673,187.2633679999999
39,finetune,0.01856013974225386,0.9942889777270132,0.0044175136005594196,0.997275204359673,194.0234197999962
40,finetune,0.02827901870351623,0.9902912621359223,0.003676649493302385,0.997275204359673,198.48539950000122
41,finetune,0.03165540778252197,0.9874357509994289,0.003771417945494416,0.997275204359673,194.4580438999983
42,finetune,0.034919132442982295,0.9914334665905197,0.005321612115411316,0.997275204359673,195.2110193999979
43,finetune,0.025096328518454992,0.9908623643632211,0.005223171394715125,0.997275204359673,196.32663270000194
44,finetune,0.019851308491911798,0.9948600799543118,0.004713960815771174,0.997275204359673,195.31940160000522
45,finetune,0.019130221788778365,0.9942889777270132,0.004729386143650707,0.997275204359673,194.45183650001127
46,finetune,0.026904018043764407,0.9925756710451171,0.00503744904925065,0.997275204359673,188.3416220999934
47,finetune,0.02273267011840571,0.9937178754997145,0.004964134586392089,0.997275204359673,195.05949959999998
48,finetune,0.02499045643516942,0.9931467732724157,0.005095308951162378,0.997275204359673,195.30865710000216
49,finetune,0.00828829715172013,0.9977155910908052,0.005125085701111592,0.997275204359673,198.068162999989
50,finetune,0.017556924817563466,0.9942889777270132,0.00512773716352556,0.997275204359673,194.1661793999956
